,0
0,"
Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 240000
Gender: 2
Education: 2
Marital status: 1
Age: 50
Repayment status in October, 2005: 2
Repayment status in September, 2005: 2
Repayment status in August, 2005: 2
Amount of bill statement in October, 2005: 1200
Amount of bill statement in September, 2005: 1800
Amount of bill statement in August, 2005: 1800
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
This customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: "
1,"
Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 90000
Gender: 1
Education: 2
Marital status: 2
Age: 45
Repayment status in October 2005: 2
Repayment status in September 2005: 2
Repayment status in August 2005: 2
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
Amount of previous payment in July 2005: 0
Amount of previous payment in June 2005: 0
Amount of previous payment in May 2005"
2,"
Yes, this customer will be late on October 2005 payment.  Conditions:
Amount of given credit in NT dollars: 30000
Gender: 2
Education: 2
Marital status: 2
Age: 46
Repayment status in June, 2005: 2
Repayment status in May, 2005: 2
Repayment status in April, 2005: 0
Amount of bill statement in June, 2005: 2854
Amount of bill statement in May, 2005: 0
Amount of bill statement in April, 2005: 0
Amount of previous payment in June, 2005: 0
Amount of previous payment in May, 2005: 0
Amount of previous payment in April, 2005: 0
The customer was late on May 2005 payment.  Therefore, this customer will be late on October 2005"
3,"
Yes, this customer will be late on October 2005 payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer"
4,"Yes, this customer will be late on October 2005 payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October"
5,"Yes, this customer will be late on October 2005 payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  Yes, this customer will be late on October 2005 payment.  No, this"
6,"Yes, this customer will be late on October 2005 payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will"
7,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not"
8,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on"
9,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on"
10,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her"
11,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
12,"
Yes, this customer will default on October 2005 payment.  Yes, this customer will default on November 2005 payment.  No, this customer will not default on December 2005 payment.  No, this customer will not default on January 2006 payment.  No, this customer will not default on February 2006 payment.  No, this customer will not default on March 2006 payment.  No, this customer will not default on April 2006 payment.  No, this customer will not default on May 2006 payment.  No, this customer will not default on June 2006 payment.  No, this customer will not default on July 2006 payment.  No, this customer will not default on August 2006 payment.  No, this customer will not default on September 2006 payment.  No, this customer will not default on October 2006 payment.  No, this customer will not"
13,"
Yes, this customer will be late on October 2005 payment.  Yes, this customer will be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on October 2005 payment.  No, this customer will not be late on"
14,"
Yes, this customer will default on October 2005 payment.  Yes, this customer will default on November 2005 payment.  Yes, this customer will default on December 2005 payment.  No, this customer will not default on January 2006 payment.  No, this customer will not default on February 2006 payment.  No, this customer will not default on March 2006 payment.  No, this customer will not default on April 2006 payment.  No, this customer will not default on May 2006 payment.  No, this customer will not default on June 2006 payment.  No, this customer will not default on July 2006 payment.  No, this customer will not default on August 2006 payment.  No, this customer will not default on September 2006 payment.  No, this customer will not default on October 2006 payment.  No, this customer will not default"
15,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not"
16,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
17,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not"
18,"
Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on"
19,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
20,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
21,"Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 150000
Gender: 2
Education: 2
Marital status: 1
Age: 24
Repayment status in October, 2005: 2
Repayment status in September, 2005: 2
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 1060
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will be late on October 2005 payment.  Conditions:
Amount of given credit in NT dollars: 50000"
22,"
Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 20000
Gender: 2
Education: 1
Marital status: 2
Age: 22
Repayment status in October 2005: 2
Repayment status in September 2005: 2
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 19245
Amount of bill statement in September 2005: 18585
Amount of bill statement in August 2005: 18585
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer will be late on October 2005 payment.  Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given"
23,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
24,"
Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 30000
Gender: 2
Education: 2
Marital status: 2
Age: 22
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 19168
Amount of bill statement in September, 2005: 19519
Amount of bill statement in August, 2005: 19203
Amount of previous payment in October, 2005: 1000
Amount of previous payment in September, 2005: 1000
Amount of previous payment in August, 2005: 0
Will default: Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of"
25,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
26,"
Yes, this customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 50000
Gender: 1
Education: 2
Marital status: 1
Age: 49
Repayment status in October, 2005: 2
Repayment status in September, 2005: 2
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will default on his/her credit card payment.  Conditions:
Amount of given credit in NT dollars: 20000
"
27,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
28,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
29,"Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 150000
Gender: 2
Education: 2
Marital status: 2
Age: 45
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
Will default: Yes
Amount of payment in October, 2005: 0
Amount of payment"
30,"Yes, this customer will default on his/her credit card payment.  Yes, this customer will default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default on his/her credit card payment.  No, this customer will not default"
31,"Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 150000
Gender: 1
Education: 2
Marital status: 2
Age: 40
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 1053
Amount of bill statement in September, 2005: 1038
Amount of bill statement in August, 2005: 1014
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will default on his/her credit card payment.  Yes, this customer will default"
32,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 10000
Gender: 2
Education: 1
Marital status: 2
Age: 24
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 10000
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
Amount of previous payment in July, 2005: 0
Amount of previous payment in"
33,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:
Amount of given credit in NT dollars: 50000
Gender: 2
Education: 2
Marital status: 1
Age: 24
Repayment status in October, 2005: 2
Repayment status in September, 2005: 2
Repayment status in August, 2005: 2
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer will default on his/her credit card payment.  Yes, this customer will default on his"
34,"
Yes, this customer will default on his/her credit card payment.  Here are the conditions for this customer:

Amount of given credit in NT dollars: 130000
Gender: 2
Education: 2
Marital status: 1
Age: 43
Repayment status in October, 2005: 2
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 1085
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
Amount of given credit in NT dollars: 130000
Gender: 2
Education:"
