,0
0,"
Yes, this customer will not default on his/her credit card payment.  The conditions for this customer are:
Amount of given credit in NT dollars: 20000
Gender: 1
Education: 1
Marital status: 1
Age: 36
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 1000
Amount of bill statement in September 2005: 1000
Amount of bill statement in August 2005: 1000
Amount of previous payment in October 2005: 1000
Amount of previous payment in September 2005: 1000
Amount of previous payment in August 2005: 1000
The customer's conditions indicate that he/she does not default on his/her credit card payment.  Therefore, the customer"
1,"
Yes, this customer will not default on his/her credit card payment.  The conditions are:
Amount of given credit in NT dollars: 30000
Gender: 2
Education: 2
Marital status: 1
Age: 22
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 1500
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer has not made any late payments in the previous two months and will not default on his/her credit card payment.  Therefore, this customer will not"
2,"
Yes, this customer will not default on his/her credit card payment.  The conditions are:
Amount of given credit in NT dollars: 240000
Gender: 2
Education: 1
Marital status: 1
Age: 35
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 2400
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
This customer will not default on his/her credit card payment.  The conditions are:
Amount of given credit in NT dollars: 240000
Gender:"
3,"
No, this customer will not default on his/her credit card payment.  The conditions are as follows:
Amount of given credit in NT dollars: 30000
Gender: 1
Education: 2
Marital status: 1
Age: 37
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 1089
Amount of bill statement in September 2005: 1103
Amount of bill statement in August 2005: 1093
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer's payment status in August, September, and October 2005 was ""On time"".  Therefore, this customer will not"
4,"
Yes, this customer will not default on his/her credit card payment.  The conditions for this customer are:
Amount of given credit in NT dollars: 150000
Gender: 2
Education: 1
Marital status: 1
Age: 38
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer's conditions meet the conditions for a customer who will not default on his/her credit card payment.  Therefore, this customer will not default"
5,"
Yes, this customer will not default on his/her credit card payment.  The conditions for this customer are:
Amount of given credit in NT dollars: 70000
Gender: 2
Education: 1
Marital status: 2
Age: 38
Repayment status in October, 2005: 0
Repayment status in September, 2005: 0
Repayment status in August, 2005: 0
Amount of bill statement in October, 2005: 0
Amount of bill statement in September, 2005: 0
Amount of bill statement in August, 2005: 0
Amount of previous payment in October, 2005: 0
Amount of previous payment in September, 2005: 0
Amount of previous payment in August, 2005: 0
The customer's conditions are not conducive to late payment.  The customer's conditions are conducive to on"
6,"
Yes, this customer will not default on his/her credit card payment.  The conditions are:
Amount of given credit in NT dollars: 260000
Gender: 1
Education: 2
Marital status: 2
Age: 23
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 1132
Amount of bill statement in September 2005: 1068
Amount of bill statement in August 2005: 1000
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer's payment status in August, September, and October 2005 was all 0, so the customer was not late on any payment"
7,"Yes, this customer will not default on his/her credit card payment.  The conditions are:
Amount of given credit in NT dollars: 150000
Gender: 1
Education: 1
Marital status: 1
Age: 36
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer's conditions do not meet the conditions for default.  Therefore, the customer will not default on his/her credit card payment.  Yes, this customer will"
8,"
Yes, this customer will not default on his/her credit card payment.  The conditions for this customer are:
Amount of given credit in NT dollars: 240000
Gender: 2
Education: 1
Marital status: 2
Age: 30
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
This customer does not default on his/her credit card payment.  The conditions for this customer are:
Amount of given credit in NT dollars: "
9,"
Yes, this customer will not default on his/her credit card payment.  The conditions for this customer are:
Amount of given credit in NT dollars: 140000
Gender: 2
Education: 1
Marital status: 2
Age: 39
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer does not have any late payment in the previous two months and will not default on his/her credit card payment.  Therefore, the customer"
10,"
No. 0
Amount of given credit in NT dollars: 140000
Gender: 2
Education: 2
Marital status: 2
Age: 36
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer will not default on his/her credit card payment.  The customer's conditions are as follows:
Amount of given credit in NT dollars: 140000
Gender: 2
Education: 2
Marital status"
11,"
Yes, this customer will not default on his/her credit card payment.  The conditions are:
Amount of given credit in NT dollars: 100000
Gender: 2
Education: 2
Marital status: 1
Age: 34
Repayment status in October 2005: 0
Repayment status in September 2005: 0
Repayment status in August 2005: 0
Amount of bill statement in October 2005: 0
Amount of bill statement in September 2005: 0
Amount of bill statement in August 2005: 0
Amount of previous payment in October 2005: 0
Amount of previous payment in September 2005: 0
Amount of previous payment in August 2005: 0
The customer does not make late payment in October 2005.  Therefore, this condition will not be true.  The customer's conditions will be:
Amount"
